RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 7;2005;Empresas vencedoras nacionais;14
Rodada 9;2007;Empresas vencedoras nacionais;20
Rodada 10;2008;Empresas vencedoras nacionais;12
Rodada 11;2013;Empresas vencedoras nacionais;12
Rodada 12;2013;Empresas vencedoras nacionais;8
Rodada 13;2015;Empresas vencedoras nacionais;11
Rodada 14 ;2017;Empresas vencedoras nacionais;10
Rodada 15;2018;Empresas vencedoras nacionais;2
Rodada 16;2019;Empresas vencedoras nacionais;1
Rodada 17;2021;Empresas vencedoras nacionais;-
Rodada 1;1999;Empresas vencedoras estrangeiras;10
Rodada 2;2000;Empresas vencedoras estrangeiras;12
Rodada 3;2001;Empresas vencedoras estrangeiras;18
Rodada 4;2002;Empresas vencedoras estrangeiras;10
Rodada 5;2003;Empresas vencedoras estrangeiras;4
Rodada 6;2004;Empresas vencedoras estrangeiras;12
Rodada 7;2005;Empresas vencedoras estrangeiras;16
Rodada 9;2007;Empresas vencedoras estrangeiras;16
Rodada 10;2008;Empresas vencedoras estrangeiras;5
Rodada 11;2013;Empresas vencedoras estrangeiras;18
Rodada 12;2013;Empresas vencedoras estrangeiras;4
Rodada 13;2015;Empresas vencedoras estrangeiras;6
Rodada 14 ;2017;Empresas vencedoras estrangeiras;7
Rodada 15;2018;Empresas vencedoras estrangeiras;10
Rodada 16;2019;Empresas vencedoras estrangeiras;9
Rodada 17;2021;Empresas vencedoras estrangeiras;2
Rodada 1;1999;Novos operadores;6
Rodada 2;2000;Novos operadores;6
Rodada 3;2001;Novos operadores;8
Rodada 4;2002;Novos operadores;5
Rodada 5;2003;Novos operadores;1
Rodada 6;2004;Novos operadores;1
Rodada 7;2005;Novos operadores;6
Rodada 9;2007;Novos operadores;11
Rodada 10;2008;Novos operadores;2
Rodada 11;2013;Novos operadores;6
Rodada 12;2013;Novos operadores;1
Rodada 13;2015;Novos operadores;3
Rodada 14 ;2017;Novos operadores;4
Rodada 15;2018;Novos operadores;-
Rodada 16;2019;Novos operadores;-
