BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Município de Rio das Ostras-RJ;2016;7015,13424
Município de Rio das Ostras-RJ;2017;17140,23532
Município de Rio das Ostras-RJ;2018;52697,514
Município de Rio das Ostras-RJ;2019;19359,21781
Município de Rio das Ostras-RJ;2020;2221,48159
Município de Rio das Ostras-RJ;2021;20917,75651
Município de Rio de Janeiro-RJ;2012;2761
Município de Rio de Janeiro-RJ;2013;7074,92518
Município de Rio de Janeiro-RJ;2014;15459,79303
Município de Rio de Janeiro-RJ;2015;21608,39269
Município de Rio de Janeiro-RJ;2016;20027,04616
Município de Rio de Janeiro-RJ;2017;72790,22493
Município de Rio de Janeiro-RJ;2018;147371,3769
Município de Rio de Janeiro-RJ;2019;160378,8035
Município de Rio de Janeiro-RJ;2020;141583,9198
Município de Rio de Janeiro-RJ;2021;216891,8179
Município de Rio Largo-AL;2012;0
Município de Rio Largo-AL;2013;0
Município de Rio Largo-AL;2014;0
Município de Rio Largo-AL;2015;0
Município de Rio Largo-AL;2016;0
Município de Rio Largo-AL;2017;0
Município de Rio Largo-AL;2018;0
Município de Rio Largo-AL;2019;0
Município de Rio Largo-AL;2020;0
Município de Rio Largo-AL;2021;0,16845
Município de Rosário do Catete-SE;2012;170
Município de Rosário do Catete-SE;2013;173,64155
Município de Rosário do Catete-SE;2014;167,46445
Município de Rosário do Catete-SE;2015;13,71235
Município de Rosário do Catete-SE;2016;0,83278
Município de Rosário do Catete-SE;2017;0,6274
Município de Rosário do Catete-SE;2018;0
Município de Rosário do Catete-SE;2019;0
Município de Rosário do Catete-SE;2020;0
Município de Rosário do Catete-SE;2021;4,67666
Município de Santo Amaro das Brotas-SE;2012;51
Município de Santo Amaro das Brotas-SE;2013;45,22266
Município de Santo Amaro das Brotas-SE;2014;59,48187
Município de Santo Amaro das Brotas-SE;2015;5,85136
Município de Santo Amaro das Brotas-SE;2016;0
Município de Santo Amaro das Brotas-SE;2017;0
Município de Santo Amaro das Brotas-SE;2018;0
Município de Santo Amaro das Brotas-SE;2019;0
Município de Santo Amaro das Brotas-SE;2020;0
Município de Santo Amaro das Brotas-SE;2021;1,2024
Município de Santo Antônio dos Lopes-MA;2012;0
Município de Santo Antônio dos Lopes-MA;2013;0
Município de Santo Antônio dos Lopes-MA;2014;544,44692
Município de Santo Antônio dos Lopes-MA;2015;785,41139
Município de Santo Antônio dos Lopes-MA;2016;325,04729
Município de Santo Antônio dos Lopes-MA;2017;99,53964
Município de Santo Antônio dos Lopes-MA;2018;0
Município de Santo Antônio dos Lopes-MA;2019;0
Município de Santo Antônio dos Lopes-MA;2020;0
Município de Santo Antônio dos Lopes-MA;2021;0
Município de São João da Barra-RJ;2012;118045
Município de São João da Barra-RJ;2013;119562,9095
Município de São João da Barra-RJ;2014;120734,4742
Município de São João da Barra-RJ;2015;81879,41918
Município de São João da Barra-RJ;2016;28154,49632
